OID_;opt_car_pa;Long;Lat;chargers
0;163,000000000000000;15,198891600000000;67,343360899999993;1
1;226,000000000000000;18,960187900000001;69,679107700000003;4
2;529,000000000000000;12,461071000000000;65,714149500000005;1
3;536,000000000000000;12,326303500000000;65,932510399999998;1
4;539,000000000000000;12,325986900000000;65,932403600000001;1
5;553,000000000000000;25,726526300000000;70,985069300000006;1
6;587,000000000000000;26,476480500000001;70,343879700000002;1
7;666,000000000000000;15,191198300000000;67,034378099999998;1
8;838,000000000000000;25,594055200000000;69,448844899999997;3
9;1147,000000000000000;17,793775600000000;68,668357799999995;4
10;1294,000000000000000;18,125204000000000;69,243148800000000;4
11;1358,000000000000000;16,570560499999999;68,778480500000001;4
12;1741,000000000000000;23,352594400000001;69,973968499999998;4
13;1788,000000000000000;23,482469600000002;69,973281900000003;4
14;1889,000000000000000;25,118989899999999;70,061706500000000;1
